"COICOP","GEO","UNIT","TIME","Value","Flag and Footnotes"
"Milk, fresh, unskimmed (1 l)","Bulgaria","Euro","2015","1.06",""
"Milk, fresh, unskimmed (1 l)","Czech Republic","Euro","2015","0.77",""
"Milk, fresh, unskimmed (1 l)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Milk, fresh, unskimmed (1 l)","Spain","Euro","2015","0.78",""
"Milk, fresh, unskimmed (1 l)","Croatia","Euro","2015","0.81",""
"Milk, fresh, unskimmed (1 l)","Italy","Euro","2015","1.43","d"
"Milk, fresh, unskimmed (1 l)","Cyprus","Euro","2015","1.32",""
"Milk, fresh, unskimmed (1 l)","Lithuania","Euro","2015","0.82",""
"Milk, fresh, unskimmed (1 l)","Malta","Euro","2015","0.83",""
"Milk, fresh, unskimmed (1 l)","Netherlands","Euro","2015","0.93",""
"Milk, fresh, unskimmed (1 l)","Poland","Euro","2015","0.63",""
"Milk, fresh, unskimmed (1 l)","Romania","Euro","2015","1.02",""
"Milk, fresh, unskimmed (1 l)","Slovenia","Euro","2015","0.88",""
"Milk, fresh, unskimmed (1 l)","Slovakia","Euro","2015","0.92",""
"Milk, fresh, unskimmed (1 l)","Finland","Euro","2015",":",""
"Milk, fresh, unskimmed (1 l)","Norway","Euro","2015","1.87",""
"Milk, fresh, unskimmed (1 l)","Turkey","Euro","2015","0.93",""
